[2026-01-14 20:59:31] [INFO    ] discord.client: logging in using static token
[2026-01-14 20:59:32] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-01-14 20:59:32] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-01-14 20:59:32] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1461076445454532967', 'username': 'hcr Bot', 'avatar': '5049784a8ac8e15311e6fa52bbb078d7', 'discriminator': '3355', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-01-14 20:59:32] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-01-14 20:59:32] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-01-14 20:59:32] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1461076445454532967', 'name': 'hcr Bot', 'icon': '5049784a8ac8e15311e6fa52bbb078d7', 'description': '', 'type': None, 'bot': {'id': '1461076445454532967', 'username': 'hcr Bot', 'avatar': '5049784a8ac8e15311e6fa52bbb078d7', 'discriminator': '3355', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'f7dc9cd1a2b8aca7fdad4134090d19f9c1d186ad08521857e3dbd6fe97b03bcc', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '684752317995679829', 'username': 'danioduck', 'avatar': '5fc7c3b7d480c9649de09bf7cc20b997', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'danioduck', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-01-14 20:59:33] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-01-14 20:59:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-cdbk",{"micros":0.0}]']}}
[2026-01-14 20:59:33] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-01-14 20:59:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-14 20:59:34] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'hcr Bot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1461076445454532967', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '3355', 'clan': None, 'bot': True, 'avatar': '5049784a8ac8e15311e6fa52bbb078d7'}, 'session_type': 'normal', 'session_id': '608ded58e6c82061e553172f79e07b98', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1461050248997765378'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['rotterdam', 'frankfurt', 'london', 'paris', 'milan'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1461076445454532967', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-c-cdbk",{"micros":168780,"calls":["id_created",{"micros":661,"calls":[]},"session_lookup_time",{"micros":295,"calls":[]},"session_lookup_finished",{"micros":13,"calls":[]},"discord-sessions-prd-2-119",{"micros":167389,"calls":["start_session",{"micros":138544,"calls":["discord-api-rpc-79555c8c67-msg4h",{"micros":76246,"calls":["get_user",{"micros":11420},"get_guilds",{"micros":7950},"send_scheduled_deletion_message",{"micros":12},"guild_join_requests",{"micros":129},"authorized_ip_coro",{"micros":15},"pending_payments",{"micros":3098},"apex_experiments",{"micros":40506},"user_activities",{"micros":5},"played_application_ids",{"micros":3},"linked_users",{"micros":2},"ad_personalization_toggles_disabled",{"micros":2},"regional_feature_config",{"micros":2}]}]},"starting_guild_connect",{"micros":33,"calls":[]},"presence_started",{"micros":9596,"calls":[]},"guilds_started",{"micros":58,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":19085,"calls":[]},"connect_finished",{"micros":19099,"calls":[]},"build_ready",{"micros":11,"calls":[]},"clean_ready",{"micros":45,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2026-01-14 20:59:34] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-01-14 20:59:34] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 608ded58e6c82061e553172f79e07b98).
[2026-01-14 20:59:34] [DEBUG   ] discord.client: Dispatching event connect
[2026-01-14 20:59:34] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'premium_progress_bar_enabled': False, 'features': [], 'application_command_counts': {}, 'default_message_notifications': 0, 'hub_type': None, 'joined_at': '2026-01-14T19:28:08.536628+00:00', 'members': [{'user': {'username': 'hcr Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1461076445454532967', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '3355', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '5049784a8ac8e15311e6fa52bbb078d7'}, 'roles': ['1461079458583675024'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-14T19:28:08.536628+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'profile': None, 'afk_timeout': 300, 'safety_alerts_channel_id': None, 'unavailable': False, 'id': '1461050248997765378', 'application_id': None, 'name': 'Hcr bot testing i guess', 'banner': None, 'afk_channel_id': None, 'stage_instances': [], 'voice_states': [], 'guild_scheduled_events': [], 'inventory_settings': None, 'activity_instances': [], 'roles': [{'version': 1768411924664, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1461050248997765378', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1768418900270, 'unicode_emoji': None, 'tags': {'bot_id': '1461076445454532967'}, 'position': 1, 'permissions': '2252126231587840', 'name': 'hcr Bot', 'mentionable': False, 'managed': True, 'id': '1461079458583675024', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'large': False, 'owner_configured_content_level': 0, 'icon': None, 'threads': [], 'presences': [], 'verification_level': 0, 'moderator_reporting': None, 'preferred_locale': 'en-US', 'channels': [{'version': 1768411924684, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1461050250314645686', 'flags': 0}, {'version': 1768411924696, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1461050250314645687', 'flags': 0}, {'version': 1768411924741, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1461050250314645686', 'name': 'general', 'last_message_id': '1461086964278366230', 'id': '1461050250314645689', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1768411924753, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1461050250314645687', 'name': 'General', 'last_message_id': None, 'id': '1461050250314645690', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'max_members': 25000000, 'region': 'deprecated', 'home_header': None, 'description': None, 'mfa_level': 0, 'discovery_splash': None, 'explicit_content_filter': 0, 'nsfw': False, 'premium_tier': 0, 'public_updates_channel_id': None, 'member_count': 2, 'premium_subscription_count': 0, 'incidents_data': None, 'max_stage_video_channel_users': 50, 'max_video_channel_users': 25, 'emojis': [], 'lazy': True, 'embedded_activities': [], 'latest_onboarding_question_id': None, 'splash': None, 'stickers': [], 'system_channel_id': '1461050250314645689', 'system_channel_flags': 0, 'nsfw_level': 0, 'owner_id': '684752317995679829', 'premium_features': None, 'version': 1768411924758, 'rules_channel_id': None, 'soundboard_sounds': [], 'vanity_url_code': None}}
[2026-01-14 20:59:34] [DEBUG   ] discord.client: Dispatching event socket_event_type
